goal,category
learn python,skill
learn java,skill
learn data science,skill
learn machine learning,skill
learn web development,skill
learn html css,skill
learn javascript,skill
practice coding,skill
improve programming skills,skill
learn sql,skill

build portfolio,career
create resume,career
prepare for interview,career
get a job,career
apply for jobs,career
learn linkedin networking,career
build personal brand,career
start freelancing,career
improve linkedin profile,career
learn public speaking,career

study for exams,academic
prepare for semester exams,academic
complete assignments,academic
revise syllabus,academic
improve grades,academic
study mathematics,academic
study physics,academic
study chemistry,academic
prepare notes,academic
focus on studies,academic

lose weight,health
gain weight,health
exercise daily,health
go to gym,health
eat healthy,health
quit smoking,health
quit junk food,health
drink more water,health
do yoga,health
improve sleep schedule,health

wake up early,personal
sleep early,personal
read books daily,personal
start journaling,personal
meditate daily,personal
improve confidence,personal
build discipline,personal
reduce phone usage,personal
manage time better,personal
develop good habits,personal

start a business,career
launch startup,career
learn entrepreneurship,career
sell products online,career
open a shop,career
grow instagram page,career
become influencer,career
start youtube channel,career
learn digital marketing,career
earn money online,career

improve communication skills,skill
learn english speaking,skill
improve vocabulary,skill
learn presentation skills,skill
learn problem solving,skill
practice aptitude,skill
learn excel,skill
learn powerpoint,skill
learn graphic design,skill
learn ui ux design,skill

stay consistent,personal
build routine,personal
stop procrastination,personal
be productive,personal
organize daily schedule,personal
plan my day,personal
improve focus,personal
avoid distractions,personal
track progress,personal
set daily goals,personal

run daily,health
walk daily,health
do home workout,health
build muscle,health
improve stamina,health
stay fit,health
join fitness program,health
do cardio exercises,health
reduce stress,health
stay active,health

prepare for competitive exams,academic
study for entrance exam,academic
improve concentration,academic
complete syllabus on time,academic
revise daily,academic
practice previous papers,academic
learn new concepts,academic
attend classes regularly,academic
take mock tests,academic
focus on weak subjects,academic
